ID,Name,Email,Address,Password,isManager
1c17749b-a1bb-4649-9820-7866ec06b3db,Ahmad Abbas,ahmad@test.net,Tulkarem,123456,False
7b51c4fc-6cf5-4028-9e02-f48f23042212,Chelsea Gonzales,daniel59@example.org,7073 Kimb,4qnwe1Ntw$,0
9b8887ca-9df2-40b3-a82d-a2d38e9805eb,Michael Arnold,ralph97@example.net,044 Chloe,)1P@TQZjkD,0
ed41676a-b511-4a56-b548-a998b92382d5,Brian Sandoval,arush@example.com,"SC 3596, ",WyY6wGW*g(,0
96a9064f-85dd-4375-ae03-201270248650,Nathaniel Long,johnsontracy@example.org,706 Derri,6ql(9Ane#J,0
ca020204-9948-4763-9971-f7a6619bb5d0,Aaron Dunn,alexis22@example.org,28 Hodges,#9f&*eCOHh,0
16d918f4-40a8-48d7-bee9-b60dcbce287c,Cheryl Tucker,baileywilson@example.com,22 Mark P,b@8rIko*^Z,0
9ae57cfb-afe7-4d99-8bbd-d8fb143dbff1,Cynthia Gonzales,gerald02@example.org,609 Benne,*_J16GCnk6,0
fda1d2f9-6790-4857-8962-f726a3b78f9a,Joseph Williams,qburns@example.net,85 Wilson,9ANf5yrr@8,0
07fe9abe-30bd-4307-abc2-95fdf65a42fb,Erik Fox,yrivera@example.com,607 Donna,V#9DEv)wEe,0
f6219424-bb16-4ec3-a67e-f2f2bf0142b8,Jeremy Walton,ronald14@example.org,275 Davis,_MO&q1Cfi3,0
70d10a16-7eda-4361-ab65-5e2b56cc686d,Donald Benton,heathdaniel@example.com,94 Morgan,%*Z07+NqA^,0
3e4269f1-9eee-41da-bb51-6006520cfe32,Ashley Wilson,anthony82@example.net,896 Diaz ,k+0NynpuL_,0
d076b3da-0e9f-4776-a8cf-3ba5db7a73b9,Shannon Howard,michael86@example.net,970 Foste,3e5yUwoFl%,0
df88397c-70d9-434d-8308-d1366dc88364,Stephanie Thornton,cruzrobert@example.com,15 Rivera,+s!&5Llq27,0
c0b6c46c-9203-4570-bd34-7c6f01af26f5,Sherri Roberts,kanemegan@example.net,491 Renee,)_Oy8Yi9n7,0
40fab4d8-f4ee-4c5a-8ed7-fd21fa0b1d0c,Tamara Lee,gmartinez@example.com,6930 Pame,6t(C7^Ka4@,0
